description,category,severity,source,label,augmented,scenario
"انتهاك فصل المهام SoD: تمتلك موظفة الموارد البشرية Sarah Al-Ghamdi صلاحية إضافة موظفين جدد في نظام HR وكذلك صلاحية صرف الرواتب من خلال نفس النظام. تم رصد إضافة حسابات موظفين وهميين (Ghost Employees) يُصرف لهم رواتب شهرية. غياب الفصل بين إدارة بيانات الموظفين وعمليات الصرف المالي أتاح الفرصة لهذا الاحتيال. الخسارة المُقدّرة تتجاوز 180,000 ريال شهرياً. وتم توثيق الملاحظة في تقرير التدقيق.",SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
"**معرف العملية:** P-049
    **اسم العملية:** إدارة الأصول

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'كارثة طبيعية' يستهدف 'جدران الحماية'، وهو أحد الأصول الرئيسية لعملية 'إدارة الأصول'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'ضعف كلمات المرور'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'إدارة الأصول' ذات حرجية 'حرج'، وتتطلب استعادة خلال 4.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 60 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 12 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** فهد العتيبي (إدارة تكنولوجيا المعلومات)
    - **طريقة التواصل:** {'الطريقة': 'الخط الساخن', 'الرقم': '99000'}
    - **سبب التواصل:** التنسيق مع SAMA بشأن حادث مالي.

    **الخطر المتبقي المتوقع بعد الاستجابة:** متوسط ولم يُعثر على تذكرة موافقة مرتبطة.",PAM,High,data\bank_scenarios_import.csv,3,True,
"امتيازات DB/ERP أوسع من الحاجة: ملاحظة امتثال مستخرجة من DOC:NIST_CSF:067 (NIST_CSF.pdf): authorized access o PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization o PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions o PR.AA-03: Users, services, and hardware are authenticated o PR.AA-04: Identity assertions are protected, conveyed, and verified NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 20 o PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties o PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk • Awareness and Training (PR.AT): The organization’s personnel are ويُصنَّف هذا كمخاطرة تشغيلية عالية.",EXCESSIVE_PRIVILEGES,Medium,legal_articles_from_pdfs.json,1,True,
نشاط غير طبيعي على الحساب: هوية المنصة خدمة مخصص لتشغيل مهام المعالجة الدفعية الليلية لنظام الرواتب في وحدة الموارد البشرية بدأ يُنفّذ عمليات خارج نطاق مهامه المعتادة. تم رصد الحساب يحاول الاتصال بخوادم نظام إدارة البطاقات الائتمانية والاستعلام عن أرصدة حسابات كبار العملاء. تكررت هذه المحاولات بشكل منتظم كل 15 دقيقة مما يوحي بوجود سكريبت آلي مشبوه. لم يتضمن دور الحساب الوظيفي أي صلاحيات الوصول مشروعة للوصول إلى بيانات نظام البطاقات. وتم توثيق الملاحظة في تقرير التدقيق.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6,True,
"امتيازات DB/ERP أوسع من الحاجة: (9) LEAST PRIVILEGE | LOG USE OF PRIVILEGED FUNCTIONS  
Log the execution of privileged functions ولم يُعثر على تذكرة موافقة مرتبطة.",EXCESSIVE_PRIVILEGES,Medium,pdf:NIST_SP_800_53_Access.pdf,1,True,
كلمة مرور ضعيفة أو قديمة: عملية بنكية: خدمات الاستثمار | القسم: تكنولوجيا المعلومات | حرجية: حرج جداً | التهديد: اختراق قاعدة البيانات | نقطة الضعف: ضعف كلمات المرور | الأصول: أنظمة التخزين السحابي | RTO: 2.0h | RPO: 30m,WEAK_PASSWORD,Critical,data\bank_scenarios_import.csv,7,True,
خلال اختبار اختراق داخلي، حساب خدمة مخصص لتشغيل عمليات المطابقة الليلية في نظام الخزينة قام بمحاولات متعددة للوصول إلى وحدات نظام الموارد البشرية وبيانات الرواتب خارج نطاق صلاحياته المحددة. الحساب من النوع غير التفاعلي ولا ينبغي له إطلاق جلسات تفاعلية، غير أنه سُجّل نشاط مصادقة تفاعلي من محطة عمل موظف في قسم المالية. يُشير هذا النمط إلى احتمال استخدام بيانات اعتماد حساب الخدمة من قِبل شخص غير مخوّل. تعد هذه المخالفة انتهاكاً صريحاً لمبدأ الحد الأدنى من الصلاحيات.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6,True,
"في سيناريو بنكي واقعي، relevant cybersecurity tools  
• Cybersecurity Function Organizational Structure  
• Cybersecurity Roles and Responsibilities Template  
• Cybersecurity General Policy Template  
 Guide to Essential Cybersecurity 
Controls (ECC) Implementation 
  
 
 
13 
Document Classification:  Public 
TLP: White  
Control implementation guidelines: 
• Establish a cybersecurity function within the organization to enable it to carry 
out its cybersecurity tasks as required, taking into account the following 
points  
o Ensure that the cybersecurity function's reporting line is different from 
that of the IT department or the digital transformation department, as 
per Royal Decree No وتم توثيق الملاحظة في تقرير التدقيق.",AUDIT_LOG_MISSING,Medium,pdf:NCA_ECC_Implementation_Guide.pdf,0,True,
"بعد طلب فريق المخاطر، control Enhancements: 
(1) IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | MULTI-FACTOR 
AUTHENTICATION TO PRIVILEGED ACCOUNTS  
Implement multi-factor authentication for access to privileged accounts",MFA_MISSING,Medium,pdf:NIST_SP_800_53_Access.pdf,2,True,
نقص في سجلات التدقيق audit trail: 5- Any other lawful communication mean provided by the Controller for this purpose,AUDIT_LOG_MISSING,Medium,pdf:ImplementingRegulationPersonalDataProtectionLaw.pdf,0,True,
