description,category,agent,source,scenario_id,operation_name
"سيناريو DRP DRP-001
تهديد: فشل نظام قاعدة البيانات
عملية: P-099
أصول: أجهزة المستخدمين النهائية, أنظمة إدارة الهوية والوصول, خوادم قواعد البيانات
استباقي: تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; تطبيق التشفير للبيانات الحساسة أثناء التخزين والإرسال.
أثناء: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.; تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.
تعافي: اختبار وظائف الأنظمة المستعادة والتحقق من سلامة البيانات.; إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.; تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السالم"", ""المنصب"": ""إدارة الع",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-001,
"سيناريو DRP DRP-002
تهديد: خطأ بشري
عملية: P-099
أصول: جدران الحماية
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; مراجعة دورية لضوابط NCA و SAMA لضمان الامتثال.
أثناء: عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.; تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.
تعافي: إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.; استعادة الأنظمة والبيانات من النسخ الاحتياطية النظيفة.; تحديث الخطط والإجراءات بناءً على الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": """,DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-002,
"سيناريو DRP DRP-003
تهديد: فشل الشبكة الرئيسية
عملية: P-085
أصول: أجهزة المستخدمين النهائية
استباقي: تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.; تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; توفير أنظمة طاقة احتياطية (UPS/مولدات) للمرافق الحيوية.
أثناء: تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.; تعطيل الوصول غير المصرح به.; تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.; إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""سارة المحمد"", ""المنصب"": ""إدارة الامتثال""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": ""إدارة المخاطر""}, """,DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-003,
"سيناريو DRP DRP-004
تهديد: تسرب بيانات
عملية: P-017
أصول: أنظمة إدارة الهوية والوصول
استباقي: تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; إعداد خطط اتصال طارئة مع أصحاب المصلحة الرئيسيين.
أثناء: تعطيل الوصول غير المصرح به.; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.; تحويل حركة المرور إلى الموقع البديل (DR Site).
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.; اختبار وظائف الأنظمة المستعادة والتحقق من سلامة البيانات.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السالم"", ""المن",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-004,
"سيناريو DRP DRP-005
تهديد: انقطاع التيار الكهربائي
عملية: P-053
أصول: جدران الحماية, شبكة المؤسسة
استباقي: تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.; تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).
أثناء: عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""سارة المحمد"", ""المنصب"": ""إدارة الامتثال""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": ""إدارة المخاطر""}, """,DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-005,
"سيناريو DRP DRP-006
تهديد: فشل الشبكة الرئيسية
عملية: P-057
أصول: أنظمة البريد الإلكتروني, أنظمة إدارة الهوية والوصول, شبكة المؤسسة
استباقي: تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; مراجعة دورية لضوابط NCA و SAMA لضمان الامتثال.
أثناء: تحويل حركة المرور إلى الموقع البديل (DR Site).; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.; تعطيل الوصول غير المصرح به.
تعافي: استعادة الأنظمة والبيانات من النسخ الاحتياطية النظيفة.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.; إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خالد عبدالرحم",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-006,
"سيناريو DRP DRP-007
تهديد: فشل نظام قاعدة البيانات
عملية: P-087
أصول: أنظمة الدفع الإلكتروني, أنظمة البريد الإلكتروني
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; إعداد خطط اتصال طارئة مع أصحاب المصلحة الرئيسيين.
أثناء: عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.; تعطيل الوصول غير المصرح به.; تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.
تعافي: تحديث الخطط والإجراءات بناءً على الدروس المستفادة.; إشعار الجهات التنظيمية (مثل SAMA, NCA, PDPL) بالحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": ",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-007,
"سيناريو DRP DRP-008
تهديد: هجوم سيبراني (برمجيات الفدية)
عملية: P-085
أصول: تطبيقات الويب, خوادم قواعد البيانات, شبكة المؤسسة
استباقي: إعداد خطط اتصال طارئة مع أصحاب المصلحة الرئيسيين.; تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.
أثناء: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.; تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.
تعافي: تعزيز الإجراءات الأمنية لمنع تكرار الحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ريم العنزي"", ""المنصب"": ""إدارة الامتثال""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": ""إدارة المخاطر""",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-008,
"سيناريو DRP DRP-009
تهديد: هجوم حجب الخدمة (DDoS)
عملية: P-034
أصول: أنظمة البريد الإلكتروني, أنظمة الدفع الإلكتروني
استباقي: تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.; تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).
أثناء: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.; عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.; اختبار وظائف الأنظمة المستعادة والتحقق من سلامة البيانات.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحم",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-009,
"سيناريو DRP DRP-010
تهديد: كارثة طبيعية (حريق)
عملية: P-068
أصول: أنظمة الدفع الإلكتروني
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.
أثناء: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.; تعطيل الوصول غير المصرح به.; تحويل حركة المرور إلى الموقع البديل (DR Site).
تعافي: إعادة تشغيل الخدمات بشكل تدريجي ومراقب.; إشعار الجهات التنظيمية (مثل SAMA, NCA, PDPL) بالحادث.; تقديم تقارير الامتثال للجهات التنظيمية (SAMA, NCA) بعد التعافي.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خالد عبدالرحمن"", ""ال",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-010,
