description,category,severity,source,label
عملية بنكية: عمليات الخزانة | القسم: تكنولوجيا المعلومات | حرجية: حرج | التهديد: هجوم حجب الخدمة (DDoS) | نقطة الضعف: عدم وجود تشفير للبيانات | الأصول: جدران الحماية | RTO: 2.0h | RPO: 120m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-053: تهديد 'فشل مزود الخدمة السحابية' يؤثر على [أنظمة التخزين السحابي, أنظمة البريد الإلكتروني, خوادم قواعد البيانات]. إجراءات: تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: نظام الخدمات المصرفية الأساسية | القسم: القنوات الرقمية | حرجية: منخفض | التهديد: فشل الأجهزة | نقطة الضعف: نقص النسخ الاحتياطي | الأصول: أنظمة البريد الإلكتروني | RTO: 72.0h | RPO: 720m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"**معرف العملية:** P-047
    **اسم العملية:** التحقق من هوية العميل (KYC)

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'تصيد احتيالي (Phishing)' يستهدف 'شبكة المؤسسة'، وهو أحد الأصول الرئيسية لعملية 'التحقق من هوية العميل (KYC)'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'تكوينات خاطئة'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'التحقق من هوية العميل (KYC)' ذات حرجية 'متوسط'، وتتطلب استعادة خلال 24.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 120 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 72 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** سارة المحمد (إدارة الامتثال)
    - **طريقة التواصل:** {'الطريقة': 'الخط الساخن', 'الرقم': '99000'}
    - **سبب التواصل:** طلب تفعيل خطة استمرارية الأعمال.

    **الخطر المتبقي المتوقع بعد الاستجابة:** منخفض",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"خلال اختبار اختراق داخلي، سيناريو تعافي DRP-069: تهديد 'انقطاع التيار الكهربائي' يؤثر على [أنظمة البريد الإلكتروني, تطبيقات الويب]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة. ويُصنَّف هذا كمخاطرة تشغيلية عالية.",SUSPICIOUS_BEHAVIOR,High,data\train_light_500.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:126 (NIST_SP_800_61_Incident.pdf): ation’s mail server  A threat from a group stating that the group will attack the organization. While precursors are relatively rare, indicators are all too common. Too many types of indicators exist to exhaustively list them, but some examples are listed below:  A network intrusion detection sensor alerts when a buffer overflow attempt occurs against a database server.  Antivirus software alerts when it detects that a host is infected with malware.  A system administrator sees a filename with unusual characters.  A host records an auditing configuration change in its log. COMPUTER SECURITY INCIDENT HANDLING GUIDE 27  An application logs multiple failed login attempts from an unfamiliar remote system.  An email administrator sees a large number of bounced emails with suspicious cont",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من 4-1-2 (NCA_OTCC.pdf): Third-Party Cybersecurity 4 Third-Party Cybersecurity 4-1 Objective To ensure the protection of organizational assets against the cybersecurity risks related to third-parties, including manufactures of OT/ICS-related hardware and software, vendors of OT/ICS products and suppliers of OT/ICS-related services as per organiza- tional policies and procedures, and related laws and regulations. Controls Control level L1 L2 L3 37 Document Classification: Public Sharing Indicator: White Operational Technology Cybersecurity Controls Appendices Appendix (A): Terms and Definitions Table (3) below highlights some of the terms and their definitions which were used in this document. Terminology Definition Protection of system resources against unauthorized access; a process by which use of system resourc",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"سيناريو تعافي DRP-080: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [أنظمة البريد الإلكتروني, خوادم قواعد البيانات]. إجراءات: تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
حساب مستخدم عادي في القسم التشغيلي 'faisal.alhajri' حاول الوصول إلى لوحة تحكم إدارة مفاتيح التشفير (HSM Management Console) الخاصة بنظام الدفع سبع مرات متتالية خلال 10 دقائق. على الرغم من رفض جميع المحاولات، استمر المستخدم في المحاولة مع تغيير طفيف في معاملات الطلب. هذا النمط يشير إلى محاولة استكشاف نقاط ضعف في آلية التحكم في الوصول أو محاولة تصعيد الصلاحيات.,SUSPICIOUS_BEHAVIOR,Medium,data\imtithal_violations_latest.csv,6
حساب مدير الموارد البشرية في النظام المركزي للرواتب رصد النظام قيامه بتعديل بيانات رواتب 12 موظفاً في نهاية الشهر خارج دورة الرواتب الرسمية ودون الحصول على موافقة مزدوجة. التعديلات تشمل رفع رواتب لحسابات بعينها بنسب تتراوح بين 15% و40% مع إضافة بدلات غير معتمدة. تم تنفيذ التعديلات في آخر يوم عمل قبل إجازة الموظف مما يثير شكوكاً حول التوقيت المقصود. لم يتم إرسال أي إشعار تلقائي لقسم المراجعة الداخلية وفق الإجراءات المعتادة.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
"تم رصد حساب المدير التقني للنظام المصرفي الأساسي يقوم بتسجيل دخول متكرر في ساعات غير اعتيادية تتراوح بين الثانية والرابعة فجراً خلال عطل نهاية الأسبوع. الحساب قام بتنفيذ استعلامات قاعدة بيانات ضخمة تستهدف جداول بيانات العملاء وأرقام الحسابات. تم اكتشاف محاولات تصدير ملفات بصيغة CSV تحتوي على بيانات حساسة لأكثر من 50,000 عميل. لم يتم تسجيل أي طلب رسمي أو تذكرة صيانة مرتبطة بهذا النشاط في نظام إدارة الخدمات.",SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
عملية بنكية: مركز دعم العملاء | القسم: تكنولوجيا المعلومات | حرجية: متوسط | التهديد: برمجيات خبيثة | نقطة الضعف: برامج غير محدثة | الأصول: شبكة المؤسسة | RTO: 24.0h | RPO: 240m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
عملية بنكية: معالجة الرواتب | القسم: الخدمات المصرفية الرقمية | حرجية: متوسط | التهديد: خطأ بشري | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: جدران الحماية | RTO: 24.0h | RPO: 480m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
"في سيناريو بنكي واقعي، ملاحظة امتثال مستخرجة من DOC:SAMA_CSF:011 (SAMA_CSF.pdf): sments on the Members Organization’s information assets; g. proactively supporting other functions on cyber security, including: 1. performing information and system classifications; 2. determining cyber security requirements for important projects; 3. performing cyber security reviews. 3.1.4.- e.1, e.2, e.3, e.4, e.5 4. The CISO should be responsible for: e. the cyber security activities across the Member Organization, including: 1. monitoring of the cyber security activities (SOC monitoring); 2. monitoring of compliance with cyber security regulations, policies, standards and procedures; 3. overseeing the investigation of cyber security incidents; 4. gathering and analyzing threat intelligence from internal and external sources; 5. performing cyber security reviews; 3.1.4. -4.i.1., 4.i.2 وتم توثيق الملاحظة في تقرير التدقيق.",SUSPICIOUS_BEHAVIOR,Medium,data\train_light_500.csv,6
