description,category,severity,source,label
"ملاحظة امتثال مستخرجة من 0-63-3 (NIST_Privacy_Framework.pdf): [8]) A complete statement asserting a property of a subscriber, independent of format. For example, for the attribute “birthday,” a value could be “12/1/1980” or “December 1, 1980.” Availability (44 U.S.C. [13]) Ensuring timely and reliable access to and use of information. Category The subdivision of a Function into groups of privacy outcomes closely tied to programmatic needs and particular activities. Communicate-P (Function) Develop and implement appropriate activities to enable organizations and individuals to have a reliable understanding and engage in a dialogue about how data are processed and associated privacy risks. Confidentiality (44 U.S.C. [13]) Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprie",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"**معرف العملية:** P-011
    **اسم العملية:** نظام مكافحة الاحتيال

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'هجوم برامج الفدية (Ransomware)' يستهدف 'أنظمة البريد الإلكتروني'، وهو أحد الأصول الرئيسية لعملية 'نظام مكافحة الاحتيال'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'نقص الوعي الأمني للموظفين'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'نظام مكافحة الاحتيال' ذات حرجية 'منخفض'، وتتطلب استعادة خلال 24.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 1440 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 168 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - تحويل حركة المرور إلى الموقع البديل (DR Site).
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - استعادة الأنظمة والبيانات من النسخ الاحتياطية النظيفة.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** فهد العتيبي (إدارة تكنولوجيا المعلومات)
    - **طريقة التواصل:** {'الطريقة': 'تطبيق المراسلة الآمن', 'الاسم': 'SecureChat'}
    - **سبب التواصل:** التنسيق مع SAMA بشأن حادث مالي.

    **الخطر المتبقي المتوقع بعد الاستجابة:** مرتفع",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
نظام الموارد البشرية سجّل نشاطاً مريباً على حساب مدير HR يتضمن تعديلات جماعية على بيانات الرواتب لعشرات الموظفين في جلسة واحدة دون اعتماد من مدير مالي. التعديلات تضمنت إضافة بدلات وحوافز غير موجودة في هيكل الرواتب المعتمد. جرت هذه العمليات في يوم عطلة رسمية مما يجعلها خارج دورة الاعتماد المعتادة. يُشير هذا النمط بقوة إلى احتمالية احتيال مالي داخلي.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-008: تهديد 'هجوم سيبراني (برمجيات الفدية)' يؤثر على [تطبيقات الويب, خوادم قواعد البيانات, شبكة المؤسسة]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"Some mature enterprises will go over these reports in IT security 
steering committee meetings, which bring leaders from IT and the business together to prioritize 
remediation efforts based on business impact.
 CIS Controls v8.1.2
Control 7: Continuous Vulnerability Management
  
41
In selecting which vulnerabilities to fix, or patches to apply, an enterprise should augment Forum of 
Incident Response and Security Teams, Inc.’s (FIRST) Common Vulnerability Scoring System (CVSS) 
with data concerning the likelihood of a threat actor using a vulnerability, or potential impact of an 
exploit to the enterprise",SUSPICIOUS_BEHAVIOR,Medium,pdf:CIS_Controls_v8.pdf,6
"ملاحظة امتثال مستخرجة من ARTICLE 14 (File0001.pdf): of the Anti-Cyber Crime Law stipulates that CST shall provide assistance and technical support to competent security agencies during the investigation stages of cybercrimes. Deepfakes Guidelines: Mitigating risks while fostering innovation 29 To minimize the risks associated with deepfakes, individuals and organizations can adopt sev­ eral best practices: Limiting Personal Data Exposure Online: Reduce the amount of personal data and images shared on social media and other public platforms to limit the raw material available for creating deepfakes. Avoid posting high-resolution images and personal videos that can be exploited for malicious purposes. Educating the Public on Deepfake Risks: Raise awareness about the existence and dangers of deepfakes. Inform people on how to recognize and res",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"سيناريو تعافي DRP-074: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أنظمة كشف التسلل, جدران الحماية]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية. عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:047 (NIST_SP_800_61_Incident.pdf): ty to use information gained during incident handling to better prepare for handling 1 An “imminent threat of violation” refers to a situation in which the organization has a factual basis for believing that a specific incident is about to occur. For example, the antivirus software maintainers may receive a bulletin from the software vendor, warning them of new malware that is rapidly spreading across the Internet. 2 For the remainder of this document, the terms “incident” and “computer security incident” are interchangeable. COMPUTER SECURITY INCIDENT HANDLING GUIDE 7 future incidents and to provide stronger protection for systems and data. An incident response capability also helps with dealing properly with legal issues that may arise during incidents. Besides the business reasons to es",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من 0-60-1 (NIST_800_53.pdf): ], [SP 800-60-2], [SP 800-160-1]. PM-12 INSIDER THREAT PROGRAM Control:  Implement an insider threat program that includes a cross-discipline insider threat incident handling team. Discussion:  Organizations that handle classified information are required, under Executive Order 13587 [EO 13587] and the National Insider Threat Policy [ODNI NITP], to establish insider threat programs. The same standards and guidelines that apply to insider threat programs in classified environments can also be employed effectively to improve the security of controlled unclassified and other information in non-national security systems. Insider threat programs include controls to detect and prevent malicious insider activity through the centralized integration and analysis of both technical and nontechnical i",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"أصدر نظام SIEM تنبيهاً بشأن حساب المستخدم العادي 'tariq.alotaibi' العامل في قسم القروض الشخصية، إذ رصد محاولات متكررة لتصعيد الصلاحيات (Privilege Escalation) عبر استغلال ثغرة في تطبيق Core Banking الداخلي. نجحت إحدى المحاولات في منح المستخدم وصولاً مؤقتاً لوحة تحكم الموافقة على القروض ذات الحدود العليا. خلال فترة الوصول غير المشروع أُدخلت موافقات على 3 طلبات قروض بقيمة إجمالية تتجاوز 850,000 ريال.",SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
